ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
88895;"Alytaus NORFA Topolių paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Topolių g.";;1;;24.028121;54.396665;;;;;;;;;;"Paštomatą rasite lauke prie sienos iš parkavimo aikštelės pusės";2023-12-28T09:41:51.370+02:00
99923;"Alytaus ORLEN paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Kauno g.";;73;;24.037088;54.403324;;;;;;;;;;;2024-01-02T08:40:49.813+02:00
88854;"Alytaus PC ARENA paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Ūdrijos g.";;1;;24.016728;54.407767;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje pagrindinio įėjimo pusėje, už kampo";2023-12-08T06:03:20.203+02:00
88855;"Alytaus RIMI Pulko paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Pulko g.";;51A;;24.043778;54.387953;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2023-10-02T06:02:50.867+03:00
9951;"Alūksnes Maxima X pakomāts";0;LV;"Alūksnes novads";Alūksne;;;"Pils iela";;9B;;27.039955;57.429130;;;;;;;;;"Pa labi no T/C ieejas";;2024-06-26T14:49:12.540+03:00
9228;"Alūksnes Pils ielas TOP pakomāts";0;LV;"Alūksnes novads";Alūksne;;;"Pils iela";;38A;;27.041396;57.426047;;;;;;;;;;;2024-06-21T14:24:13.537+03:00
96118;"Antsla Coop Konsumi pakiautomaat";0;EE;"Võru maakond";"Antsla vald";"Antsla linn";;"F. R. Kreutzwaldi tn";;4a;;26.529852;57.828349;;;;;;;;;;;2024-03-12T12:52:35.490+02:00
66494;"Antsla postipunkt";1;EE;"Võru maakond";"Antsla vald";"Antsla linn";;"Jaani tn";;4;;26.527581;57.828993;"T,K,N 09:00-15:00 E,R,L,P SULETUD";;;;;;;;;;2024-10-03T15:28:19.347+03:00
88800;"Anykščių NORFA Vilniaus g. paštomatas";0;LT;"Utenos apskr.";"Anykščių r. sav.";"Anykščių m.";;"Vilniaus g.";;22;;25.098617;55.522851;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2022-10-05T22:26:28.320+03:00
55570;"Anykščių NORFA Žiburio paštomatas";0;LT;"Utenos apskr.";"Anykščių r. sav.";"Anykščių m.";;"Žiburio g.";;12;;25.118836;55.524932;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2023-12-29T09:14:29.817+02:00
9515;"Apes TOP pakomāts";0;LV;"Smiltenes novads";Ape;;;"Stacijas iela";;4;;26.694414;57.538809;;;;;;;;;;;2024-06-21T13:54:51.027+03:00
96230;"Aravete Meie kaupluse pakiautomaat";0;EE;"Järva maakond";"Järva vald";"Aravete alevik";;"Piibe mnt";;16;;25.751629;59.144507;;;;;;;;;;;2022-12-21T09:13:00.357+02:00
96328;"Are pakiautomaat";0;EE;"Pärnu maakond";"Tori vald";"Are alevik";;"Pärivere tee";;17;;24.564522;58.518677;;;;;;;;;;;2023-01-06T11:50:26.173+02:00
55508;"Ariogalos RŪTA paštomatas";0;LT;"Kauno apskr.";"Raseinių r. sav.";"Ariogalos m.";;"Melioratorių g.";;4;;23.481931;55.262334;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2023-12-28T09:53:08.010+02:00
11701;"Arsenali postkontor";1;EE;"Harju maakond";Tallinn;"Põhja-Tallinna linnaosa";;"Erika tn";;14;;24.717816;59.451722;"E,T,K,N,R 10:00-20:00 L 10:00-16:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2024-08-09T13:40:20.683+03:00
96204;"Aruküla Coop Konsumi pakiautomaat";0;EE;"Harju maakond";"Raasiku vald";"Aruküla alevik";;"Tallinna mnt";;8;;25.078314;59.370973;;;;;;;;;;;2024-02-27T14:23:38.327+02:00
96211;"Aseri Grossi pakiautomaat";0;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";;"Tehase tn";;23;;26.866788;59.449630;;;;;;;;;;;2019-08-21T12:07:10.457+03:00
43494;"Aseri postipunkt";1;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";;Keskpõik;;2;;26.869575;59.452887;"E 13:30-17:30 T,K,N 10:00-14:00 R 12:00-16:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2024-10-03T19:33:14.907+03:00
9158;"Auces TOP pakomāts";0;LV;"Dobeles novads";Auce;;;"Baznīcas iela";;1;;22.892118;56.464794;;;;;;;;;"Blakus T/C centrālajai ieejai";;2024-06-21T10:51:22.103+03:00
96238;"Audru osavallakeskuse pakiautomaat";0;EE;"Pärnu maakond";"Pärnu linn";"Audru alevik";;"Pärna allee";;7;;24.356293;58.407850;;;;;;;;;;;2021-05-24T16:21:59.393+03:00
9193;"Augšlīgatnes ELVI pakomāts";0;LV;"Cēsu novads";"Līgatnes pagasts";Augšlīgatne;;"Nītaures iela";;5;;25.035161;57.183270;;;;;;;;;"Pa labi no T/C ieejas";;2024-04-09T16:26:20.170+03:00
99047;"Aukštadvario MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Trakų r. sav.";"Aukštadvario mstl.";;"Vilniaus g.";;15;;24.526192;54.578857;;;;;;;;;;;2023-12-05T12:40:49.043+02:00
96363;"Avinurme pakiautomaat";0;EE;"Jõgeva maakond";"Mustvee vald";"Avinurme alevik";;"Võidu tn";;2;;26.864595;58.984656;;;;;;;;;;;2023-04-10T04:00:08.353+03:00
9182;"Babītes ELVI pakomāts";0;LV;"Mārupes novads";"Babītes pagasts";Babīte;;"Liepu aleja";;15A;;23.948289;56.956402;;;;;;;;;"Pa kreisi no T/C ieejas";;2023-09-29T14:42:10.067+03:00
55584;"Baisogalos NORFA paštomatas";0;LT;"Šiaulių apskr.";"Radviliškio r. sav.";"Baisogalos mstl.";;"Maironio g.";;11;;23.721187;55.639392;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2024-02-29T06:03:28.267+02:00
9127;"Baldones Mego pakomāts";0;LV;"Ķekavas novads";Baldone;;;"Rīgas iela";;79;;24.397343;56.742677;;;;;;;;;"Pa labi no galvenās ieejas";;2024-06-21T09:57:11.947+03:00
9579;"Baldones TOP pakomāts";0;LV;"Ķekavas novads";Baldone;;;"Pārupes iela";;6;;24.388640;56.738832;;;;;;;;;;;2023-09-29T15:15:04.760+03:00
9970;"Baložu Mego pakomāts";0;LV;"Ķekavas novads";Baloži;;;"Rīgas iela";;14;;24.118521;56.875234;;;;;;;;;"Pa kreisi no T/C Centrālās ieejas";;2024-06-26T16:03:11.030+03:00
77756;"Baltosios Vokės KOOPS paštomatas";0;LT;"Vilniaus apskr.";"Šalčininkų r. sav.";"Baltosios Vokės m.";;"Vilniaus g.";;14A;;25.125602;54.455460;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2024-03-22T06:03:45.110+02:00
9982;"Balvu TOP pakomāts";0;LV;"Balvu novads";Balvi;;;"Partizānu iela";;8;;27.263968;57.132165;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2024-06-26T16:15:39.273+03:00
9505;"Balvu Tautas ielas 1 pakomāts";0;LV;"Balvu novads";Balvi;;;"Tautas iela";;1;;27.265564;57.128295;;;;;;;;;;;2024-06-25T14:42:14.590+03:00
9940;"Bauskas Mini RIMI pakomāts";0;LV;"Bauskas novads";Bauska;;;"Zaļā iela";;3;;24.194196;56.407070;;;;;;;;;"Blakus T/C centrālajai ieejai";;2023-09-29T15:03:08.533+03:00
9201;"Bauskas Pionieru ielas RIMI pakomāts";0;LV;"Bauskas novads";Bauska;;;"Pionieru iela";;2;;24.188877;56.405837;;;;;;;;;"Pa kreisi no ieejas";;2024-06-21T13:30:33.027+03:00
9280;"Bauskas Upmalas ielas TOP pakomāts";0;LV;"Bauskas novads";Bauska;;;"Upmalas iela";;1;;24.199892;56.405392;;;;;;;;;;;2024-06-25T10:30:39.703+03:00
9232;"Berģu SKY pakomāts";0;LV;"Ropažu novads";"Garkalnes pagasts";Berģi;;;"Rīgas-Siguldas šoseja 8";;;24.289421;57.002990;;;;;;;;;;;2024-06-25T09:06:02.480+03:00
