title;description;price;stock;category;image_Path;height;width;lenght;weight
Kassi söögialus kahene;Kassi söögialus kahene;35;3;Kassid;/path/to/image_122.jpg
Kassi söögialuskahene kaldus;Kassi söögialuskahene kaldus;40;4;Kassid;/path/to/image_123.jpg
Kassi söögialus kolmene;Kassi söögialus kolmene;40;1;Kassid;/path/to/image_124.jpg
Kassi söögialus kolmene kaldus;Kassi söögialus kolmene kaldus;45;3;Kassid;/path/to/image_125.jpg
Kuri kass;Kuri kass;13;2;Kassid;/path/to/image_126.jpg
Meie maja parim nurrumootor;Meie maja parim nurrumootor;13;3;Kassid;/path/to/image_127.jpg
Ettevaatust meie armas kiisu arvab ,et on tiiger;Ettevaatust meie armas kiisu arvab ,et on tiiger;13;1;Kassid;/path/to/image_128.jpg
Ettevaatust meil on kass, kes on must, tige ja võib halba õnne tuua !;Ettevaatust meil on kass, kes on must, tige ja võib halba õnne tuua !;13;2;Kassid;/path/to/image_129.jpg
Väike murdja, ära peale astu;Väike murdja, ära peale astu;;3;Kassid;/path/to/image_130.jpg
